title,author,price,format,link
Iron Flame (11/07/2023),by Rebecca Yarros,"
$23.99","
Hardcover",https://www.barnesandnoble.com/w/iron-flame-rebecca-yarros/1143445645;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781649374172
A Curse for True Love (B&N Exclusive Edition) (10/24/2023),by Stephanie Garber,"
$17.84","
Hardcover",https://www.barnesandnoble.com/w/a-curse-for-true-love-stephanie-garber/1142831119;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781250908452
Fourth Wing (05/02/2023),by Rebecca Yarros,"
$26.99","
Hardcover",https://www.barnesandnoble.com/w/fourth-wing-rebecca-yarros/1142297916;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781649374042
House of Flame and Shadow (Crescent City Series #3) (01/30/2024),by Sarah J. Maas,"
$27.20","
Hardcover",https://www.barnesandnoble.com/w/house-of-flame-and-shadow-sarah-j-maas/1143213613;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781635574104
House of Sky and Breath (Crescent City Series #2) (02/15/2022),by Sarah J. Maas,"
$21.99","
Hardcover",https://www.barnesandnoble.com/w/house-of-sky-and-breath-sarah-j-maas/1139427333;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781635574074
Beyond the Story: 10-Year Record of BTS (07/09/2023),"by BTS, Myeongseok Kang","
$36.00","
Hardcover",https://www.barnesandnoble.com/w/beyond-the-story-bts/1143474669;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781250326751
House of Earth and Blood (Crescent City Series #1) (03/02/2021),by Sarah J. Maas,"
$16.99","
Paperback",https://www.barnesandnoble.com/w/house-of-earth-and-blood-sarah-j-maas/1131130550;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781635577020
A Court of Mist and Fury (A Court of Thorns and Roses Series #2) (06/02/2020),by Sarah J. Maas,"
$16.99","
Paperback",https://www.barnesandnoble.com/w/a-court-of-mist-and-fury-sarah-j-maas/1123052907;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781635575583
You Are Beautiful (02/14/2023),by Dora Maria Abreu,"
$16.99","
Paperback",https://www.barnesandnoble.com/w/you-are-beautiful-doramaria-abreu/1142873822;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9798823174336
A Court of Wings and Ruin (A Court of Thorns and Roses Series #3) (06/02/2020),by Sarah J. Maas,"
$16.99","
Paperback",https://www.barnesandnoble.com/w/a-court-of-wings-and-ruin-sarah-j-maas/1125299079;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781635575606
The Prisoner's Throne (B&N Exclusive Edition) (03/05/2024),by Holly Black,"
$17.84","
Hardcover",https://www.barnesandnoble.com/w/the-prisoners-throne-holly-black/1142950065;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9780316569309
The Housemaid (08/23/2022),by Freida McFadden,"
$12.99","
Paperback",https://www.barnesandnoble.com/w/the-housemaid-freida-mcfadden/1142009317;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781538742570
King of Greed (B&N Exclusive Edition) (10/24/2023),by Ana Huang,"
$16.19","
Paperback",https://www.barnesandnoble.com/w/king-of-greed-ana-huang/1143280084;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781464216671
King of Pride (B&N Exclusive Edition) (08/22/2023),by Ana Huang,"
$16.19","
Paperback",https://www.barnesandnoble.com/w/king-of-pride-ana-huang/1143345255;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781728299822
The Five-Star Weekend (B&N Exclusive Edition) (06/13/2023),by Elin Hilderbrand,"
$21.00","
Hardcover",https://www.barnesandnoble.com/w/the-five-star-weekend-elin-hilderbrand/1142422496;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9780316571142
A Court of Thorns and Roses (A Court of Thorns and Roses Series #1) (06/02/2020),by Sarah J. Maas,"
$15.99","
Paperback",https://www.barnesandnoble.com/w/a-court-of-thorns-and-roses-sarah-j-maas/1120160516;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781635575569
Lessons in Chemistry (B&N Book of the Year) (04/05/2022),by Bonnie Garmus,"
$23.99","
Hardcover",https://www.barnesandnoble.com/w/lessons-in-chemistry-bonnie-garmus/1139798102;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9780385547345
Icebreaker: A Novel (02/07/2023),by Hannah Grace,"
$16.19","
Paperback",https://www.barnesandnoble.com/w/icebreaker-hannah-grace/1142730300;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781668026038
Zero Days (B&N Exclusive Edition) (06/20/2023),by Ruth Ware,"
$20.99","
Hardcover",https://www.barnesandnoble.com/w/zero-days-ruth-ware/1142483536;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781668031797
A Court of Frost and Starlight (A Court of Thorns and Roses Series) (06/02/2020),by Sarah J. Maas,"
$14.99","
Paperback",https://www.barnesandnoble.com/w/a-court-of-frost-and-starlight-sarah-j-maas/1127477102;jsessionid=835433A0E45FF5ACAE6F6E7D71C1BFCB.prodny_store02-atgap06?ean=9781635575620
The Missus (06/20/2023),by E L James,"
$16.19","
Paperback",https://www.barnesandnoble.com/w/the-missus-e-l-james/1143159206;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781728290270
Twisted Games (Twisted Series #2) (09/27/2022),by Ana Huang,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/twisted-games-ana-huang/1141060115;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781728274874
Twisted Love (Twisted Series #1) (09/27/2022),by Ana Huang,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/twisted-love-ana-huang/1141060121;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781728274867
Verity (10/26/2021),by Colleen Hoover,"
$13.99","
Paperback",https://www.barnesandnoble.com/w/verity-colleen-hoover/1130171830;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781538724736
